Date;GDP_CH_bn
31.03.1980;48
30.06.1980;50
30.09.1980;51
31.12.1980;51
31.03.1981;51
30.06.1981;53
30.09.1981;54
31.12.1981;55
31.03.1982;55
30.06.1982;57
30.09.1982;57
31.12.1982;58
31.03.1983;57
30.06.1983;58
30.09.1983;59
31.12.1983;60
31.03.1984;60
30.06.1984;62
30.09.1984;63
31.12.1984;64
31.03.1985;64
30.06.1985;66
30.09.1985;67
31.12.1985;68
31.03.1986;67
30.06.1986;70
30.09.1986;70
31.12.1986;70
31.03.1987;70
30.06.1987;72
30.09.1987;73
31.12.1987;74
31.03.1988;74
30.06.1988;76
30.09.1988;78
31.12.1988;79
31.03.1989;79
30.06.1989;82
30.09.1989;84
31.12.1989;85
31.03.1990;87
30.06.1990;90
30.09.1990;91
31.12.1990;91
31.03.1991;92
30.06.1991;93
30.09.1991;95
31.12.1991;95
31.03.1992;95
30.06.1992;96
30.09.1992;96
31.12.1992;95
31.03.1993;95
30.06.1993;97
30.09.1993;99
31.12.1993;99
31.03.1994;99
30.06.1994;99
30.09.1994;101
31.12.1994;101
31.03.1995;99
30.06.1995;101
30.09.1995;102
31.12.1995;102
31.03.1996;101
30.06.1996;102
30.09.1996;102
31.12.1996;102
31.03.1997;101
30.06.1997;104
30.09.1997;105
31.12.1997;106
31.03.1998;105
30.06.1998;107
30.09.1998;108
31.12.1998;107
31.03.1999;106
30.06.1999;107
30.09.1999;110
31.12.1999;113
31.03.2000;113
30.06.2000;114
30.09.2000;116
31.12.2000;117
31.03.2001;117
30.06.2001;118
30.09.2001;118
31.12.2001;118
31.03.2002;116
30.06.2002;117
30.09.2002;118
31.12.2002;118
31.03.2003;116
30.06.2003;118
30.09.2003;119
31.12.2003;122
31.03.2004;121
30.06.2004;122
30.09.2004;123
31.12.2004;124
31.03.2005;123
30.06.2005;127
30.09.2005;128
31.12.2005;131
31.03.2006;131
30.06.2006;134
30.09.2006;136
31.12.2006;139
31.03.2007;140
30.06.2007;143
30.09.2007;145
31.12.2007;148
31.03.2008;147
30.06.2008;152
30.09.2008;152
31.12.2008;149
31.03.2009;145
30.06.2009;146
30.09.2009;149
31.12.2009;150
31.03.2010;149
30.06.2010;152
30.09.2010;153
31.12.2010;155
31.03.2011;154
30.06.2011;156
30.09.2011;155
31.12.2011;156
31.03.2012;155
30.06.2012;156
30.09.2012;157
31.12.2012;158
31.03.2013;156
30.06.2013;160
30.09.2013;161
31.12.2013;161
31.03.2014;160
30.06.2014;162
30.09.2014;164
31.12.2014;165
31.03.2015;161
30.06.2015;163
30.09.2015;164
31.12.2015;165
31.03.2016;162
30.06.2016;166
30.09.2016;167
31.12.2016;166
31.03.2017;164
30.06.2017;167
30.09.2017;168
31.12.2017;170
31.03.2018;168
30.06.2018;174
30.09.2018;173
31.12.2018;174
31.03.2019;172
30.06.2019;175
30.09.2019;176
31.12.2019;177
